place	country	song_artist	points_total	points_public	points_jury	running_order
1	Sweden	"Tattoo 
Loreen"	583	243	340	9
2	Finland	"Cha Cha Cha 
Käärijä"	526	376	150	13
3	Israel	"Unicorn 
Noa Kirel"	362	185	177	23
4	Italy	"Due vite 
Marco Mengoni"	350	174	176	11
5	Norway	"Queen of Kings 
Alessandra"	268	216	52	20
6	Ukraine	"Heart of Steel 
Tvorchi"	243	189	54	19
7	Belgium	"Because of You 
Gustaph"	182	55	127	16
8	Estonia	"Bridges 
Alika"	168	22	146	12
9	Australia	"Promise 
Voyager"	151	21	130	15
10	Czechia	"My Sister's Crown 
Vesna"	129	35	94	14
11	Lithuania	"Stay 
Monika Linkytė"	127	46	81	22
12	Cyprus	"Break a Broken Heart 
Andrew Lambrou"	126	58	68	7
13	Croatia	"Mama ŠČ! 
Let 3"	123	112	11	25
14	Armenia	"Future Lover 
Brunette"	122	53	69	17
15	Austria	"Who The Hell Is Edgar? 
Teya & Salena"	120	16	104	1
16	France	"Évidemment 
La Zarra"	104	50	54	6
17	Spain	"Eaea 
Blanca Paloma"	100	5	95	8
18	Moldova	"Soarele și Luna 
Pasha Parfeni"	96	76	20	18
19	Poland	"Solo 
Blanka"	93	81	12	4
20	Switzerland	"Watergun 
Remo Forrer"	92	31	61	3
21	Slovenia	"Carpe Diem 
Joker Out"	78	45	33	24
22	Albania	"Duje 
Albina & Familja Kelmendi"	76	59	17	10
23	Portugal	"Ai Coração 
Mimicat"	59	16	43	2
24	Serbia	"Samo mi se spava 
Luke Black"	30	16	14	5
25	United Kingdom	"I Wrote A Song 
Mae Muller"	24	9	15	26
26	Germany	"Blood & Glitter 
Lord Of The Lost"	18	15	3	21